GameID,Pitcher,Outs,PitchCount,HBP,BB,FirstHitInning,NoHitBid,K,IP,GB,BallsInPlay
"CHN200106060","woodk002",21,118,0,5,5.00,1,6,7.00,15,5
"CHN200106070","morrm001",23,101,0,1,6.67,1,3,7.67,20,13
"CHN200110060","tavaj001",22,131,2,5,7.33,1,9,7.33,14,12
"CIN200105030","prokl001",15,93,1,5,5.00,1,4,5.00,11,8
"CIN200105160","reitb001",19,87,0,1,5.67,1,0,6.33,19,10
"COL200106030","astap001",27,107,0,2,6.00,1,7,9.00,20,7
"COL200106070","reyns001",23,112,0,2,5.00,1,4,7.67,17,12
"FLO200106260","pennb002",24,118,0,1,5.00,1,13,8.00,13,7
"HOU200108040","oswar001",27,105,1,0,6.00,1,7,9.00,19,10
"LAN200104220","dreid001",21,88,1,0,5.00,1,8,7.00,13,12
"LAN200104290","parkc002",21,119,0,1,6.33,1,10,7.00,12,8
"LAN200105070","browk001",24,113,0,2,5.67,1,10,8.00,13,9
"LAN200107060","garcf002",27,97,0,1,5.33,1,5,9.00,22,14
"LAN200108140","parkc002",24,105,0,2,5.67,1,4,8.00,18,11
"MIL200104070","wrigj001",21,102,0,4,6.33,1,6,7.00,14,8
"MIL200110050","lopea002",27,112,0,2,5.00,1,8,9.00,17,11
"MON200104100","armat002",16,84,0,4,5.00,1,3,5.33,13,6
"MON200105040","millw001",24,101,1,1,5.00,1,4,8.00,19,13
"MON200105160","dreid001",18,102,1,2,5.67,1,9,6.00,9,5
"MON200108070","kiled001",27,124,0,1,5.33,1,5,9.00,21,13
"MON200108210","ortir001",24,120,0,4,6.67,1,3,8.00,21,12
"PHI200105010","daalo001",24,104,0,1,6.00,1,6,8.00,18,10
"PHI200105040","chenb001",20,101,1,2,5.00,1,3,6.67,17,3
"PIT200106010","burkj001",21,91,1,0,5.33,1,6,7.00,16,8
"PIT200107130","ritct001",27,87,1,0,8.33,1,6,9.00,21,14
"SDN200105120","burna001",27,129,1,9,-1.00,3,7,9.00,19,7
"SDN200105260","schic002",27,114,0,1,7.33,1,9,9.00,18,9
"SDN200108190","armat002",26,126,0,2,5.67,1,10,8.67,15,7
"SDN200109020","johnr005",22,133,0,3,5.67,1,14,7.33,8,4
"SDN200109030","smitb004",27,134,0,4,-1.00,3,7,9.00,20,10
"SDN200109050","willw001",27,101,0,0,6.00,1,6,9.00,19,10
"SFN200105070","armat002",18,108,1,3,5.67,1,3,6.00,14,4
"SFN200107210","schic002",21,90,0,2,6.33,1,12,7.00,9,7
"SLN200104120","hermd001",21,93,0,3,6.33,1,3,7.00,16,10
"ANA200205070","washj001",21,109,0,4,5.33,1,7,7.00,14,1
"ANA200208300","callm001",18,86,1,1,5.33,1,5,6.00,12,9
"ANA200208310","ortir002",27,99,0,0,5.33,1,6,9.00,21,12
"ANA200209100","ortir002",18,100,0,4,5.33,1,2,6.00,16,6
"BAL200204050","lowed001",21,81,0,3,7.00,1,1,7.00,19,13
"BAL200204250","martp001",21,103,1,1,5.67,1,10,7.00,11,5
"BAL200208220","stepj001",18,111,0,2,5.00,1,5,6.00,13,5
"BOS200204140","mussm001",20,95,0,0,5.33,1,5,6.67,15,5
"BOS200204270","lowed001",27,97,0,1,-1.00,3,6,9.00,21,13
"CLE200208090","rogek001",24,108,0,1,7.00,1,4,8.00,20,12
"CLE200208240","baezd001",21,107,1,1,5.67,1,7,7.00,13,5
"DET200204070","sabac001",24,106,0,2,7.00,1,2,8.00,21,10
"DET200205220","weavj002",27,125,2,2,7.67,1,11,9.00,16,8
"KCA200208280","zitob001",21,109,0,2,5.33,1,3,7.00,17,11
"MIN200208160","maysj001",27,121,0,2,5.67,1,6,9.00,21,9
"OAK200207190","lidlc001",27,90,0,1,7.00,1,6,9.00,20,13
"OAK200208040","lidlc001",21,96,0,2,5.00,1,6,7.00,13,9
"OAK200209130","zitob001",24,110,0,1,7.00,1,7,8.00,16,6
"SEA200204270","lillt001",24,100,2,1,7.33,1,8,8.00,15,4
"SEA200208310","asenm001",18,99,0,4,5.00,1,2,6.00,16,11
"TOR200206070","hallr001",27,106,2,0,5.00,1,4,9.00,23,15
"CHN200204260","pereo001",27,91,0,0,6.00,1,6,9.00,20,11
"CHN200209280","wellk001",18,91,0,1,5.33,1,5,6.00,14,6
"CIN200208272","finlc001",27,112,0,1,5.33,1,7,9.00,19,9
"CIN200209110","desse001",21,102,0,0,6.67,1,6,7.00,16,8
"COL200205020","thomj005",21,95,1,2,6.33,1,5,7.00,16,6
"COL200205160","hampm001",24,120,0,5,5.00,1,6,8.00,16,8
"FLO200208140","neagd001",21,109,0,4,5.33,1,3,7.00,17,7
"FLO200208190","tavaj001",21,93,0,1,5.00,1,3,7.00,17,6
"HOU200206260","johnr005",24,105,0,3,5.33,1,8,8.00,13,7
"LAN200206250","pereo001",27,87,0,1,5.00,1,6,9.00,20,11
"MON200209290","drewt001",17,90,0,1,5.33,1,6,5.67,11,6
"NYN200204260","estes001",27,114,0,1,6.00,1,8,9.00,18,5
"NYN200204270","astap001",24,105,1,1,6.33,1,2,8.00,21,13
"NYN200206200","tracs001",25,96,0,0,6.33,1,7,8.33,17,10
"NYN200206250","tracs001",16,88,0,1,5.00,1,5,5.33,11,7
"NYN200208050","johnr005",27,113,0,2,5.00,1,11,9.00,16,7
"NYN200208170","pereo001",21,87,0,1,6.33,1,7,7.00,14,8
"PHI200205100","padiv001",27,110,0,3,7.67,1,7,9.00,20,13
"PHI200207210","millk004",24,104,0,2,5.00,1,6,8.00,16,8
"PIT200205280","clemm001",27,112,0,3,6.00,1,8,9.00,18,11
"PIT200207010","wellk001",24,103,1,3,7.33,1,5,8.00,20,14
"PIT200208010","jennj001",21,94,0,2,6.67,1,4,7.00,17,9
"SDN200207130","tomkb001",24,96,0,2,5.33,1,5,8.00,18,11
"SDN200207150","stard001",18,87,0,3,5.33,1,5,6.00,13,4
"SFN200204300","padiv001",24,90,0,0,5.00,1,4,8.00,20,12
"SFN200205190","beckj002",21,89,0,2,5.33,1,5,7.00,16,4
"SFN200205290","schic002",24,111,1,0,5.00,1,9,8.00,15,7
"SFN200205310","jennj001",21,90,0,1,6.33,1,5,7.00,16,7
"SFN200207270","daalo001",18,64,1,1,5.00,1,3,6.00,13,4
"SLN200205030","mossd001",21,116,0,7,-1.00,2,6,7.00,13,10
"SLN200205170","kiled001",21,106,1,5,5.00,1,2,7.00,17,10
"SLN200209290","franw001",21,103,0,6,5.00,1,4,7.00,17,9
"ANA200306150","tracs001",27,119,0,4,5.67,1,1,9.00,25,10
"ANA200309170","zitob001",25,111,0,2,5.33,1,6,8.33,22,10
"CHA200304250","maysj001",21,92,1,0,5.33,1,3,7.00,21,12
"CHA200307190","cornn001",20,93,0,3,6.67,1,3,6.67,20,10
"CHA200308180","washj001",25,101,1,0,6.00,1,2,8.33,27,12
"CLE200305180","andeb002",22,115,0,2,5.00,1,2,7.33,23,15
"DET200304030","lohsk001",24,92,0,0,5.33,1,5,8.00,21,5
"DET200305012","marom001",23,112,1,0,7.00,1,5,7.67,22,16
"KCA200309280","loaie001",22,118,1,3,6.67,1,8,7.33,18,9
"MIN200308210","abbop001",17,85,0,4,5.00,1,4,5.67,15,9
"NYA200306180","clemr001",24,116,0,2,7.33,1,9,8.00,16,12
"NYA200309262","depaj002",19,85,0,1,6.33,1,6,6.33,14,5
"OAK200304260","halaj001",19,103,1,4,6.33,1,4,6.33,18,11
"OAK200306300","moyej001",22,107,0,2,6.33,1,2,7.33,24,13
"SEA200307280","benoj001",21,104,0,2,5.00,1,7,7.00,17,4
"TBA200305090","parqj001",18,100,1,4,6.00,1,2,6.00,16,8
"TOR200306290","ohkat001",27,98,1,0,6.67,1,4,9.00,26,13
"TOR200309060","hallr001",30,99,1,1,7.67,1,5,10.00,28,21
"TOR200309220","bellr003",20,107,0,1,6.00,1,4,6.67,19,9
"ARI200308220","zambc001",27,93,0,2,7.67,1,4,9.00,26,18
"ATL200304240","hampm001",18,81,0,4,5.33,1,1,6.00,19,11
"ATL200306200","maddg002",21,85,1,1,5.67,1,3,7.00,22,14
"CHN200304150","estes001",24,100,1,1,5.00,1,4,8.00,24,12
"CHN200307300","schmj001",18,90,0,2,5.33,1,7,6.00,13,5
"CIN200304250","peavj001",19,82,0,3,5.00,1,9,6.33,11,7
"CIN200306180","woodk002",27,108,0,0,5.67,1,9,9.00,20,9
"CIN200307050","gravd001",21,80,1,1,6.00,1,1,7.00,23,15
"CIN200309230","woodk002",21,122,0,4,6.33,1,12,7.00,11,10
"COL200304040","chacs001",21,87,0,0,5.33,1,8,7.00,15,5
"FLO200308020","pavac001",16,85,0,3,5.00,1,3,5.33,17,8
"HOU200305050","millw001",24,97,0,1,5.33,1,4,8.00,22,15
"HOU200308200","priom001",21,100,0,1,5.00,1,9,7.00,16,6
"LAN200307040","batim001",21,93,0,1,5.00,1,7,7.00,21,8
"LAN200307050","pereo001",24,111,0,0,7.00,1,5,8.00,23,15
"LAN200308060","pereo001",21,92,0,2,5.67,1,8,7.00,14,9
"LAN200308300","stard001",16,87,0,6,5.00,1,0,5.33,18,7
"MIL200305240","nomoh001",27,120,0,4,6.33,1,8,9.00,20,9
"MIL200307070","franw001",18,85,1,3,5.00,1,5,6.00,12,4
"MIL200308220","franw001",21,109,2,3,6.33,1,7,7.00,15,7
"MON200307090","ohkat001",24,101,0,2,6.00,1,5,8.00,21,15
"MON200309100","clemm001",15,86,0,5,-1.00,2,5,5.00,8,6
"NYN200308180","tracs001",27,103,0,0,5.67,1,3,9.00,26,10
"NYN200308310","padiv001",24,100,1,0,6.00,1,5,8.00,21,10
"PHI200304270","millk004",27,108,0,3,-1.00,3,10,9.00,16,4
"PHI200306190","hampm001",22,103,0,3,7.33,1,5,7.33,19,8
"PHI200308010","millk004",27,106,0,1,5.33,1,8,9.00,20,11
"PIT200304090","ritct001",22,93,0,0,5.33,1,6,7.33,21,10
"PIT200308280","foggj001",23,95,2,0,5.67,1,2,7.67,24,11
"PIT200309180","wellk001",21,94,0,2,5.67,1,4,7.00,18,10
"SDN200306220","franr001",18,84,0,1,5.00,1,5,6.00,15,3
"SDN200306240","olivd001",18,74,1,0,5.33,1,0,6.00,21,14
"SDN200308230","eatoa001",22,112,1,2,5.67,1,5,7.33,21,14
"SLN200304020","willw001",20,102,0,1,5.67,1,5,6.67,18,7
"SLN200306050","willw001",24,98,0,1,7.33,1,5,8.00,19,6
"SLN200307110","willw001",24,106,0,2,5.67,1,2,8.00,25,9
"SLN200309070","morrm001",27,100,0,1,6.00,1,8,9.00,22,13
"ANA200406060","sabac001",21,112,0,2,5.33,1,6,7.00,17,7
"ANA200406080","sheeb001",27,103,0,0,6.67,1,5,9.00,24,10
"BAL200406100","cabrd001",21,77,0,1,6.00,1,2,7.00,23,11
"BOS200405300","schic002",23,101,0,1,5.67,1,4,7.67,23,11
"CHA200408110","may-d002",24,110,0,3,5.67,1,6,8.00,23,7
"CLE200407210","buehm001",27,90,0,0,6.33,1,4,9.00,23,15
"CLE200409050","lackj001",22,105,0,3,5.67,1,5,7.33,20,10
"DET200406100","ortir001",18,104,0,5,5.00,1,4,6.00,17,9
"KCA200409010","greiz001",21,96,0,0,5.00,1,5,7.00,18,5
"KCA200410030","contj002",24,101,0,2,6.00,1,4,8.00,21,11
"MIN200406020","waecd001",21,105,0,2,5.67,1,1,7.00,22,10
"MIN200406030","santj003",23,114,0,4,5.00,1,7,7.67,19,7
"MIN200407220","brazd001",17,102,0,4,5.00,1,5,5.67,14,5
"MIN200409030","santj003",21,106,0,1,6.00,1,11,7.00,12,5
"MIN200409140","garcf002",16,96,1,5,5.33,1,2,5.33,15,7
"NYA200409180","liebj001",25,98,0,1,6.67,1,7,8.33,22,9
"OAK200405210","muldm001",27,108,3,0,6.00,1,6,9.00,21,9
"OAK200407200","bushd001",24,107,1,3,7.33,1,6,8.00,18,5
"OAK200408250","chenb001",21,99,0,4,5.67,1,3,7.00,21,4
"TBA200404070","abbop001",18,105,0,2,5.33,1,3,6.00,20,11
"TBA200406100","zambv001",19,115,0,6,6.00,1,6,6.33,15,4
"TBA200406250","brazd001",23,125,1,6,7.67,1,5,7.67,19,11
"TOR200405030","gobbj001",26,109,0,0,5.33,1,1,8.67,31,16
"TOR200405180","batim001",18,105,0,5,5.00,1,5,6.00,13,11
"ARI200407230","fossc001",22,108,1,4,6.00,1,7,7.33,18,11
"ARI200407250","jennj001",24,114,0,3,5.33,1,7,8.00,21,9
"ATL200405180","johnr005",27,117,0,0,-1.00,3,13,9.00,14,7
"ATL200408010","byrdp001",17,91,0,1,5.00,1,5,5.67,16,6
"CHN200404250","clemm001",24,115,0,2,6.33,1,13,8.00,13,7
"CHN200408230","zambc001",20,115,0,3,6.33,1,9,6.67,15,7
"CIN200405200","kennj001",21,89,1,1,5.00,1,9,7.00,16,9
"CIN200406250","wellk001",20,110,0,2,5.33,1,7,6.67,16,10
"CIN200408290","gonze001",21,103,0,2,6.00,1,3,7.00,19,11
"FLO200404110","beckj002",21,100,2,1,5.67,1,11,7.00,12,6
"FLO200406020","willd003",24,100,0,1,6.67,1,5,8.00,21,11
"FLO200408100","beckj002",18,98,0,3,5.67,1,5,6.00,14,6
"FLO200408110","suppj001",24,100,0,2,5.00,1,2,8.00,24,15
"FLO200409210","lidlc001",20,93,1,1,6.33,1,2,6.67,21,16
"LAN200408080","myerb001",24,113,0,2,5.00,1,9,8.00,17,9
"MON200406200","garlj001",25,110,0,3,5.67,1,7,8.33,21,12
"MON200407250","hernl003",25,96,0,2,6.00,1,6,8.33,24,14
"MON200408140","armat002",15,77,0,2,-1.00,2,5,5.00,10,3
"MON200409040","ortir001",27,108,0,3,5.00,1,5,9.00,23,12
"NYN200405060","schmj001",21,123,0,3,5.33,1,10,7.00,13,7
"NYN200405230","glavt001",27,113,0,1,7.67,1,8,9.00,20,10
"PHI200407250","milte001",26,108,0,1,8.00,1,12,8.67,16,3
"PIT200405070","alvaw001",21,85,0,0,5.00,1,5,7.00,17,9
"PIT200406280","suppj001",24,115,0,1,6.67,1,7,8.00,19,8
"PIT200409120","willd002",21,78,0,1,6.00,1,5,7.00,17,11
"SDN200407030","eatoa001",21,98,1,1,7.00,1,10,7.00,13,5
"SDN200407260","peavj001",16,86,1,3,5.33,1,5,5.33,15,6
"SFN200404160","schmj001",21,94,0,3,5.33,1,4,7.00,17,7
"SFN200406200","schmj001",27,133,0,2,5.00,1,9,9.00,20,7
"SFN200408030","lowrn001",27,120,0,2,6.00,1,9,9.00,21,11
"SLN200407230","hermd001",20,95,0,1,6.33,1,5,6.67,18,5
"SLN200408070","willw001",21,109,1,2,5.33,1,5,7.00,18,9
"BOS200506140","welld001",21,110,1,2,5.67,1,5,7.00,17,9
"CHA200504150","garlj001",21,87,0,2,6.33,1,3,7.00,19,11
"CHA200508170","santj003",25,119,1,1,6.00,1,10,8.33,21,6
"CLE200505010","limaj001",17,100,1,4,5.33,1,2,5.67,19,6
"CLE200509140","westj001",21,101,0,3,5.00,1,3,7.00,19,13
"DET200505050","arrob001",24,113,0,2,6.33,1,8,8.00,19,4
"DET200505200","webbb001",24,113,0,1,6.33,1,8,8.00,22,17
"KCA200509030","domij001",22,109,0,4,6.00,1,2,7.33,22,9
"MIN200505220","santj003",21,108,0,1,5.67,1,11,7.00,15,7
"MIN200508230","garcf002",24,95,0,2,7.00,1,3,8.00,22,16
"MIN200509020","sabac001",22,112,0,1,5.67,1,7,7.33,18,12
"MIN200509260","howej003",15,97,1,3,-1.00,2,7,5.00,8,5
"NYA200507260","johnr005",24,97,1,0,5.67,1,11,8.00,14,7
"OAK200507140","hardr001",27,81,0,0,7.33,1,8,9.00,21,10
"OAK200507150","zitob001",24,108,0,2,7.33,1,5,8.00,20,10
